restaurant_id,name,phone,address,loc_x,loc_y,business,opening_time,closing_time
1,麥當勞,0976578007,320桃園市中壢區中大路99號,2,21,1,08:00:00,20:00:00
2,摩斯漢堡,0947946958,320桃園市中壢區中正一路252號,87,5,1,09:30:00,18:00:00
3,伍味鍋,0997935827,320桃園市中壢區五興路121號,49,71,1,07:00:00,22:00:00
4,三媽臭臭鍋,0999369804,320桃園市中壢區民族路1041號,14,80,0,10:00:00,23:00:00
5,迷克夏,0977073228,320桃園市中壢區中大路50號,80,42,1,11:00:00,16:00:00
6,可不可熟成紅茶,0946602587,320桃園市中壢區中大路101號,21,99,0,10:30:00,21:30:00
7,鬍鬚張,0993381433,320桃園市中壢區中正一路380號,31,7,1,10:00:00,20:00:00
8,九大雞魯飯,0996380445,320桃園市中壢區中正二路448號,78,79,1,06:00:00,22:00:00
9,怡客咖啡,0945234928,320桃園市中壢區中正路42號,51,85,1,11:00:00,21:30:00
10,路易莎咖啡,0950621549,320桃園市中壢區中大路840號,12,38,1,10:30:00,23:00:00
11,二師父麻油雞,0950005890,320桃園市中壢區民族路721號,24,19,0,08:00:00,22:00:00
12,肯德基,0905179052,320桃園市中壢區五興路877號,4,24,0,09:30:00,21:30:00
13,爭鮮迴轉壽司,0907159968,320桃園市中壢區中正一路301號,63,17,1,11:00:00,23:00:00
14,壽司郎,0999233765,320桃園市中壢區中正路72號,83,39,1,11:00:00,21:30:00
15,弘爺早餐店,0900651160,320桃園市中壢區中正二路345號,16,27,1,06:00:00,09:00:00
,,,,,,,,
